id,person,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,face,whole_roi,fixed,0.017482934519648552,0.889509379863739,0.028754472732543945,
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,weighted_three_regions,fixed,0.016746124434398442,0.8494725929547663,,0.012315487307382793
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,forehead,fixed,0.016238970682024956,0.8346161842346191,,0.012272996827960014
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,cheek_viewer_left,fixed,0.01697942242026329,0.8965384364128113,,0.012707145884633064
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,cheek_viewer_right,fixed,0.018097681924700737,0.856118381023407,,0.012056611478328705
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,face,whole_roi,1,0.01858719065785408,0.8722035884857178,0.030579278245568275,
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,weighted_three_regions,1,0.017658516128615635,0.8182319541500039,,0.013838145177720524
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,forehead,1,0.01709640398621559,0.7981975674629211,,0.013840441592037678
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,cheek_viewer_left,1,0.018340228125452995,0.8824755549430847,,0.014167392626404762
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,cheek_viewer_right,1,0.018733404576778412,0.8264203667640686,,0.013501721434295177
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,face,whole_roi,3,0.01858719065785408,0.8722035884857178,0.030579278245568275,
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,weighted_three_regions,3,0.017658516128615635,0.8182319541500039,,0.013838145177720524
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,forehead,3,0.01709640398621559,0.7981975674629211,,0.013840441592037678
P06-navy_cable-r1,P06,navy_cable,1,1,navy_cable,navy_cable,original,skin,cheek_viewer_left,3,0.018340228125452995,0.8824755549430847,,0.014167392626404762
