id,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
BSP-r1-s1,BSP,1,1,B,B,original,face,whole_roi,fixed,0.11155339330434799,0.8445107340812683,0.08258889615535736,
BSP-r1-s1,BSP,1,1,B,B,original,skin,weighted_three_regions,fixed,0.056940214993322594,0.8302397296604593,,0.012964039799921653
BSP-r1-s1,BSP,1,1,B,B,original,skin,forehead,fixed,0.05687898397445679,0.8040764927864075,,0.014091486111283302
BSP-r1-s1,BSP,1,1,B,B,original,skin,cheek_viewer_left,fixed,0.07041532546281815,0.8654828667640686,,0.012011753395199776
BSP-r1-s1,BSP,1,1,B,B,original,skin,cheek_viewer_right,fixed,0.041960399597883224,0.8756672739982605,,0.01072684396058321
BSP-r1-s1,BSP,1,1,B,B,original,face,whole_roi,1,0.11155339330434799,0.8445107340812683,0.08258889615535736,
BSP-r1-s1,BSP,1,1,B,B,original,skin,weighted_three_regions,1,0.056940214993322594,0.8302397296604593,,0.012964039799921653
BSP-r1-s1,BSP,1,1,B,B,original,skin,forehead,1,0.05687898397445679,0.8040764927864075,,0.014091486111283302
BSP-r1-s1,BSP,1,1,B,B,original,skin,cheek_viewer_left,1,0.07041532546281815,0.8654828667640686,,0.012011753395199776
BSP-r1-s1,BSP,1,1,B,B,original,skin,cheek_viewer_right,1,0.041960399597883224,0.8756672739982605,,0.01072684396058321
BSP-r1-s1,BSP,1,1,B,B,original,face,whole_roi,3,0.11155339330434799,0.8445107340812683,0.08258889615535736,
BSP-r1-s1,BSP,1,1,B,B,original,skin,weighted_three_regions,3,0.056940214993322594,0.8302397296604593,,0.012964039799921653
BSP-r1-s1,BSP,1,1,B,B,original,skin,forehead,3,0.05687898397445679,0.8040764927864075,,0.014091486111283302
BSP-r1-s1,BSP,1,1,B,B,original,skin,cheek_viewer_left,3,0.07041532546281815,0.8654828667640686,,0.012011753395199776
BSP-r1-s1,BSP,1,1,B,B,original,skin,cheek_viewer_right,3,0.041960399597883224,0.8756672739982605,,0.01072684396058321
BSP-r1-s1,BSP,1,1,B,B,original,face,whole_roi,6,0.11155339330434799,0.8445107340812683,0.08258889615535736,
BSP-r1-s1,BSP,1,1,B,B,original,skin,weighted_three_regions,6,0.056940214993322594,0.8302397296604593,,0.012964039799921653
BSP-r1-s1,BSP,1,1,B,B,original,skin,forehead,6,0.05687898397445679,0.8040764927864075,,0.014091486111283302
BSP-r1-s1,BSP,1,1,B,B,original,skin,cheek_viewer_left,6,0.07041532546281815,0.8654828667640686,,0.012011753395199776
BSP-r1-s1,BSP,1,1,B,B,original,skin,cheek_viewer_right,6,0.041960399597883224,0.8756672739982605,,0.01072684396058321
BSP-r1-s1,BSP,1,1,B,B,previous,face,whole_roi,fixed,0.11155339330434799,0.8445107340812683,0.08258889615535736,
BSP-r1-s1,BSP,1,1,B,B,previous,skin,weighted_three_regions,fixed,0.056940214993322594,0.8302397296604593,,0.012964039799921653
BSP-r1-s1,BSP,1,1,B,B,previous,skin,forehead,fixed,0.05687898397445679,0.8040764927864075,,0.014091486111283302
BSP-r1-s1,BSP,1,1,B,B,previous,skin,cheek_viewer_left,fixed,0.07041532546281815,0.8654828667640686,,0.012011753395199776
BSP-r1-s1,BSP,1,1,B,B,previous,skin,cheek_viewer_right,fixed,0.041960399597883224,0.8756672739982605,,0.01072684396058321
BSP-r1-s1,BSP,1,1,B,B,previous,face,whole_roi,1,0.11155339330434799,0.8445107340812683,0.08258889615535736,
