id,person,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,face,whole_roi,fixed,0.038374654948711395,0.8295213580131531,0.0733725056052208,
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,weighted_three_regions,fixed,0.0322310639895937,0.7868157630812617,,0.013389799333013156
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,forehead,fixed,0.03369327262043953,0.7680304646492004,,0.013768002390861511
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,cheek_viewer_left,fixed,0.026631394401192665,0.8270707130432129,,0.013541494496166706
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,cheek_viewer_right,fixed,0.03423980623483658,0.8021826148033142,,0.012109296396374702
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,face,whole_roi,1,0.038374654948711395,0.8295213580131531,0.0733725056052208,
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,weighted_three_regions,1,0.0322310639895937,0.7868157630812617,,0.013389799333013156
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,forehead,1,0.03369327262043953,0.7680304646492004,,0.013768002390861511
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,cheek_viewer_left,1,0.026631394401192665,0.8270707130432129,,0.013541494496166706
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,cheek_viewer_right,1,0.03423980623483658,0.8021826148033142,,0.012109296396374702
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,face,whole_roi,3,0.038374654948711395,0.8295213580131531,0.0733725056052208,
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,weighted_three_regions,3,0.0322310639895937,0.7868157630812617,,0.013389799333013156
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,forehead,3,0.03369327262043953,0.7680304646492004,,0.013768002390861511
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,cheek_viewer_left,3,0.026631394401192665,0.8270707130432129,,0.013541494496166706
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,cheek_viewer_right,3,0.03423980623483658,0.8021826148033142,,0.012109296396374702
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,face,whole_roi,6,0.038374654948711395,0.8295213580131531,0.0733725056052208,
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,weighted_three_regions,6,0.0322310639895937,0.7868157630812617,,0.013389799333013156
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,forehead,6,0.03369327262043953,0.7680304646492004,,0.013768002390861511
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,cheek_viewer_left,6,0.026631394401192665,0.8270707130432129,,0.013541494496166706
P04-no_change-r1-s4,P04,no_change,1,4,none,none,original,skin,cheek_viewer_right,6,0.03423980623483658,0.8021826148033142,,0.012109296396374702
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,face,whole_roi,fixed,0.014141875319182873,0.9487884640693665,0.017075639218091965,
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,weighted_three_regions,fixed,0.010495771108304753,0.9423208651213294,,0.007150205845999367
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,forehead,fixed,0.00923252385109663,0.9374160766601562,,0.0073844799771904945
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,cheek_viewer_left,fixed,0.014646229334175587,0.9557931423187256,,0.006809620186686516
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,cheek_viewer_right,fixed,0.00953353475779295,0.9429156184196472,,0.006845881696790457
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,face,whole_roi,1,0.014141875319182873,0.9487884640693665,0.017075639218091965,
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,weighted_three_regions,1,0.010495771108304753,0.9423208651213294,,0.007150205845999367
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,forehead,1,0.00923252385109663,0.9374160766601562,,0.0073844799771904945
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,cheek_viewer_left,1,0.014646229334175587,0.9557931423187256,,0.006809620186686516
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,cheek_viewer_right,1,0.00953353475779295,0.9429156184196472,,0.006845881696790457
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,face,whole_roi,3,0.014141875319182873,0.9487884640693665,0.017075639218091965,
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,weighted_three_regions,3,0.010495771108304753,0.9423208651213294,,0.007150205845999367
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,forehead,3,0.00923252385109663,0.9374160766601562,,0.0073844799771904945
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,cheek_viewer_left,3,0.014646229334175587,0.9557931423187256,,0.006809620186686516
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,cheek_viewer_right,3,0.00953353475779295,0.9429156184196472,,0.006845881696790457
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,face,whole_roi,6,0.014141875319182873,0.9487884640693665,0.017075639218091965,
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,weighted_three_regions,6,0.010495771108304753,0.9423208651213294,,0.007150205845999367
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,forehead,6,0.00923252385109663,0.9374160766601562,,0.0073844799771904945
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,cheek_viewer_left,6,0.014646229334175587,0.9557931423187256,,0.006809620186686516
P04-no_change-r1-s4,P04,no_change,1,4,none,none,previous,skin,cheek_viewer_right,6,0.00953353475779295,0.9429156184196472,,0.006845881696790457
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,face,whole_roi,fixed,0.038199976086616516,0.758645236492157,0.07654732465744019,
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,weighted_three_regions,fixed,0.02850942110094954,0.7882980333766907,,0.013419169507482473
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,forehead,fixed,0.027186162769794464,0.7763944268226624,,0.01363256387412548
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,cheek_viewer_left,fixed,0.028133971616625786,0.8318173289299011,,0.013318104669451714
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,cheek_viewer_right,fixed,0.032814934849739075,0.7772534489631653,,0.012906656600534916
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,face,whole_roi,1,0.033503804355859756,0.7979965806007385,0.07207636535167694,
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,weighted_three_regions,1,0.02859111967113088,0.7805741531321168,,0.014454969207153601
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,forehead,1,0.029020337387919426,0.7607582211494446,,0.014909136109054089
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,cheek_viewer_left,1,0.030474290251731873,0.8028401732444763,,0.015553236939013004
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,cheek_viewer_right,1,0.025213003158569336,0.8200888633728027,,0.011886654421687126
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,face,whole_roi,3,0.03363392502069473,0.7980451583862305,0.07241898775100708,
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,weighted_three_regions,3,0.027953285978120915,0.7902355658203316,,0.014002867972149568
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,forehead,3,0.02744998410344124,0.7764679789543152,,0.014141907915472984
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,cheek_viewer_left,3,0.03158695623278618,0.8001734614372253,,0.015704983845353127
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,cheek_viewer_right,3,0.025342358276247978,0.8240723609924316,,0.01167997159063816
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,face,whole_roi,6,0.03363392502069473,0.7980451583862305,0.07241898775100708,
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,weighted_three_regions,6,0.027953285978120915,0.7902355658203316,,0.014002867972149568
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,forehead,6,0.02744998410344124,0.7764679789543152,,0.014141907915472984
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,cheek_viewer_left,6,0.03158695623278618,0.8001734614372253,,0.015704983845353127
P04-no_change-r2-s4,P04,no_change,2,4,none,none,original,skin,cheek_viewer_right,6,0.025342358276247978,0.8240723609924316,,0.01167997159063816
P04-no_change-r2-s4,P04,no_change,2,4,none,none,previous,face,whole_roi,fixed,0.022019213065505028,0.8557095527648926,0.029995890334248543,
P04-no_change-r2-s4,P04,no_change,2,4,none,none,previous,skin,weighted_three_regions,fixed,0.01512360676903935,0.8847097477508676,,0.009248153875198435
P04-no_change-r2-s4,P04,no_change,2,4,none,none,previous,skin,forehead,fixed,0.013471277430653572,0.882575511932373,,0.008857009001076221
P04-no_change-r2-s4,P04,no_change,2,4,none,none,previous,skin,cheek_viewer_left,fixed,0.017674725502729416,0.9381003379821777,,0.008427277207374573
P04-no_change-r2-s4,P04,no_change,2,4,none,none,previous,skin,cheek_viewer_right,fixed,0.017102397978305817,0.8301281332969666,,0.011319464072585106
P04-no_change-r2-s4,P04,no_change,2,4,none,none,previous,face,whole_roi,1,0.016287419945001602,0.9103339314460754,0.021232031285762787,
P04-no_change-r2-s4,P04,no_change,2,4,none,none,previous,skin,weighted_three_regions,1,0.011532487704911653,0.9183040308054051,,0.008743928814416423
P04-no_change-r2-s4,P04,no_change,2,4,none,none,previous,skin,forehead,1,0.011228108778595924,0.9158622622489929,,0.008298363536596298
