branch,policy,stage,id,output_sha256,reviewer,severity,ai_clear,fixed_mae,fixed_ssim,fixed_lpips,mae_alarm,ssim_alarm,lpips_alarm,aligned3_mae,aligned3_ssim,aligned3_lpips
P01,sequential,1,09a39a2cab,3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,a,1,False,0.01682279445230961,0.9092685580253601,0.029075920581817627,False,False,False,0.01682279445230961,0.9092685580253601,0.029075920581817627
P01,sequential,1,09a39a2cab,3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,b,0,False,0.01682279445230961,0.9092685580253601,0.029075920581817627,False,False,False,0.01682279445230961,0.9092685580253601,0.029075920581817627
P01,sequential,2,84e0755a99,5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,a,1,False,0.025318698957562447,0.8610936999320984,0.045663982629776,False,False,False,0.023979511111974716,0.86857670545578,0.04554736241698265
P01,sequential,2,84e0755a99,5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,b,1,False,0.025318698957562447,0.8610936999320984,0.045663982629776,False,False,False,0.023979511111974716,0.86857670545578,0.04554736241698265
P01,sequential,3,a8c56338be,f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,a,2,True,0.03235635906457901,0.8246541023254395,0.06535055488348007,True,True,True,0.029664114117622375,0.847237765789032,0.061555471271276474
P01,sequential,3,a8c56338be,f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,b,2,True,0.03235635906457901,0.8246541023254395,0.06535055488348007,True,True,True,0.029664114117622375,0.847237765789032,0.061555471271276474
P01,sequential,4,d9011155c6,93069e877fb11f264f2f8af78ab9c008158be25cdafee7422470c38d49eec4a6,a,2,True,0.04575975611805916,0.7748034000396729,0.09369942545890808,True,True,True,0.04218009114265442,0.8089295029640198,0.08704492449760437
P01,sequential,4,d9011155c6,93069e877fb11f264f2f8af78ab9c008158be25cdafee7422470c38d49eec4a6,b,2,True,0.04575975611805916,0.7748034000396729,0.09369942545890808,True,True,True,0.04218009114265442,0.8089295029640198,0.08704492449760437
P01,sequential,5,68aff2db56,920021a6c61ee4781e4b3eea0c42cee999eaf258855b6ebe212f6f44d0b2f91e,a,2,True,0.05325869098305702,0.7275538444519043,0.1472696214914322,True,True,True,0.04936990141868591,0.7596468925476074,0.1388384848833084
P01,sequential,5,68aff2db56,920021a6c61ee4781e4b3eea0c42cee999eaf258855b6ebe212f6f44d0b2f91e,b,2,True,0.05325869098305702,0.7275538444519043,0.1472696214914322,True,True,True,0.04936990141868591,0.7596468925476074,0.1388384848833084
P01,sequential,6,b389155808,62722e56d65c4519472ba85f6cfbab205edb03e6362e434a6bc5f35b4d11ffe1,a,2,True,0.05713431537151337,0.7041564583778381,0.15798193216323853,True,True,True,0.052986495196819305,0.7396819591522217,0.14989019930362701
P01,sequential,6,b389155808,62722e56d65c4519472ba85f6cfbab205edb03e6362e434a6bc5f35b4d11ffe1,b,2,True,0.05713431537151337,0.7041564583778381,0.15798193216323853,True,True,True,0.052986495196819305,0.7396819591522217,0.14989019930362701
P01,sequential,7,ffa08d2f15,e8abd8ccfffaead18ab620feeda61f6b002ad1e270ead96393bb47f846a761b2,a,3,True,0.06003551930189133,0.6880168914794922,0.16779829561710358,True,True,True,0.05739738047122955,0.7098167538642883,0.15942201018333435
P01,sequential,7,ffa08d2f15,e8abd8ccfffaead18ab620feeda61f6b002ad1e270ead96393bb47f846a761b2,b,3,True,0.06003551930189133,0.6880168914794922,0.16779829561710358,True,True,True,0.05739738047122955,0.7098167538642883,0.15942201018333435
P01,sequential,8,47a67522c3,35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,a,3,True,0.06567317992448807,0.6651027202606201,0.17702649533748627,True,True,True,0.06358537822961807,0.6855347156524658,0.1700306236743927
P01,sequential,8,47a67522c3,35960e73a70622c0624edddfc39de04be7967e1bd5d9672e4147f6e1e0995b7c,b,3,True,0.06567317992448807,0.6651027202606201,0.17702649533748627,True,True,True,0.06358537822961807,0.6855347156524658,0.1700306236743927
P01,sequential,9,bf1daf5bdd,c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,a,3,True,0.07317664474248886,0.6282134652137756,0.20342886447906494,True,True,True,0.07095509022474289,0.6513688564300537,0.19450446963310242
P01,sequential,9,bf1daf5bdd,c9452208da161ff37ad673d387e91d685c8462fce65c82a548dc1a6cf5a6eb6e,b,3,True,0.07317664474248886,0.6282134652137756,0.20342886447906494,True,True,True,0.07095509022474289,0.6513688564300537,0.19450446963310242
P01,sequential,10,86a25de442,7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,a,3,True,0.14570675790309906,0.4989817440509796,0.27048414945602417,True,True,True,0.1428041160106659,0.5281270146369934,0.2617783844470978
P01,sequential,10,86a25de442,7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,b,3,True,0.14570675790309906,0.4989817440509796,0.27048414945602417,True,True,True,0.1428041160106659,0.5281270146369934,0.2617783844470978
P02,sequential,1,f6dfb6e61d,6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,a,1,False,0.021788310259580612,0.8218111991882324,0.05121392011642456,False,True,False,0.021788310259580612,0.8218111991882324,0.05121392011642456
P02,sequential,1,f6dfb6e61d,6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,b,1,False,0.021788310259580612,0.8218111991882324,0.05121392011642456,False,True,False,0.021788310259580612,0.8218111991882324,0.05121392011642456
P02,sequential,2,632a4ef734,a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,a,2,True,0.030131500214338303,0.7501263618469238,0.07663755118846893,True,True,True,0.029172420501708984,0.759837806224823,0.0755927711725235
P02,sequential,2,632a4ef734,a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,b,2,True,0.030131500214338303,0.7501263618469238,0.07663755118846893,True,True,True,0.029172420501708984,0.759837806224823,0.0755927711725235
P02,sequential,3,c7bd1ff93e,aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,a,2,True,0.03669736534357071,0.6926453709602356,0.0967579185962677,True,True,True,0.034902580082416534,0.7117676734924316,0.0966821014881134
P02,sequential,3,c7bd1ff93e,aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,b,2,True,0.03669736534357071,0.6926453709602356,0.0967579185962677,True,True,True,0.034902580082416534,0.7117676734924316,0.0966821014881134
P02,sequential,4,ae82e408bc,0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,a,3,True,0.04702320322394371,0.6243091225624084,0.12890082597732544,True,True,True,0.04364503175020218,0.663843035697937,0.12440567463636398
P02,sequential,4,ae82e408bc,0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,b,3,True,0.04702320322394371,0.6243091225624084,0.12890082597732544,True,True,True,0.04364503175020218,0.663843035697937,0.12440567463636398
P02,sequential,5,c44d3ea000,de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,a,3,True,0.07907287031412125,0.4742469787597656,0.18909992277622223,True,True,True,0.06668028980493546,0.5924898982048035,0.17104068398475647
P02,sequential,5,c44d3ea000,de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,b,3,True,0.07907287031412125,0.4742469787597656,0.18909992277622223,True,True,True,0.06668028980493546,0.5924898982048035,0.17104068398475647
P02,sequential,6,b594d1e886,3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,a,3,True,0.0823577344417572,0.45751288533210754,0.20260554552078247,True,True,True,0.07125925272703171,0.5664193630218506,0.18683218955993652
