branch,stage,id,mode,mae,ssim,lpips
P01,1,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,fixed,0.01682279445230961,0.9092685580253601,0.029075920581817627
P01,1,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,1,0.01682279445230961,0.9092685580253601,0.029075920581817627
P01,1,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,3,0.01682279445230961,0.9092685580253601,0.029075920581817627
P01,1,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,6,0.01682279445230961,0.9092685580253601,0.029075920581817627
P01,2,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,fixed,0.025318698957562447,0.8610936999320984,0.045663982629776
P01,2,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,1,0.023979511111974716,0.86857670545578,0.04554736241698265
P01,2,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,3,0.023979511111974716,0.86857670545578,0.04554736241698265
P01,2,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,6,0.023979511111974716,0.86857670545578,0.04554736241698265
P01,3,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,fixed,0.03235635906457901,0.8246541023254395,0.06535055488348007
P01,3,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,1,0.029664114117622375,0.847237765789032,0.061555471271276474
P01,3,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,3,0.029664114117622375,0.847237765789032,0.061555471271276474
P01,3,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,6,0.029664114117622375,0.847237765789032,0.061555471271276474
P01,4,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:93069e877fb11f264f2f8af78ab9c008158be25cdafee7422470c38d49eec4a6,fixed,0.04575975611805916,0.7748034000396729,0.09369942545890808
