rater,submitted_at,candidate,policy,sources,human_severity,human_clear,agent_a_severity,agent_b_severity,fixed_mae,fixed_ssim,fixed_lpips,aligned_mae,aligned_ssim,aligned_lpips
R01,2026-09-06T01:07:23.313Z,b3f370e531cc,end_regeneration,P03-r1-end-only+P03-r2-end-only,1,False,1,1,0.1474795937538147,0.4508729875087738,0.2523171007633209,0.12637537717819214,0.5641468167304993,0.21022529900074005
R01,2026-09-06T01:07:23.313Z,bb2c7b8a2c5e,sequential,P06,3,True,3,3,0.13443037867546082,0.40591657161712646,0.3830995559692383,0.13372814655303955,0.4083770215511322,0.3900483250617981
R01,2026-09-06T01:07:23.313Z,155d22026a52,fixed_interval_3,P04-fixed3,1,False,2,2,0.1456567794084549,0.5448765754699707,0.22375284135341644,0.14233317971229553,0.5573118925094604,0.2198472023010254
R01,2026-09-06T01:07:23.313Z,c0686c315980,sequential,P01,3,True,3,3,0.14570675790309906,0.4989817440509796,0.27048414945602417,0.1428041160106659,0.5281270146369934,0.2617783844470978
R01,2026-09-06T01:07:23.313Z,94a26a5b4671,trigger_once,P04-once-triggered,3,True,2,3,0.2465388923883438,0.22978626191616058,0.5694571733474731,0.17855381965637207,0.3952031135559082,0.3046590983867645
R01,2026-09-06T01:07:23.313Z,b2519d4912f9,sequential,P03-r1,3,True,3,3,0.2008240669965744,0.25522199273109436,0.41561371088027954,0.17389467358589172,0.4089403450489044,0.3455989956855774
R01,2026-09-06T01:07:23.313Z,4bfd2079d0ad,end_regeneration,P06-end-only,0,False,1,1,0.12653160095214844,0.4720388948917389,0.3100045621395111,0.10645657777786255,0.6141180396080017,0.24684754014015198
R01,2026-09-06T01:07:23.313Z,a65cd2b2d783,sequential,P03-r2,3,True,3,3,0.25273093581199646,0.17960941791534424,0.5659546256065369,0.20252104103565216,0.24914735555648804,0.39421382546424866
R01,2026-09-06T01:07:23.313Z,059fe2aefa51,shared_rebase_final,P04-triggered+P04-end-only+P04-always-original,0,False,0,0,0.14220327138900757,0.694753885269165,0.18617664277553558,0.14823032915592194,0.6199067234992981,0.19212482869625092
R01,2026-09-06T01:07:23.313Z,7098591a79e4,sequential,P02,3,True,3,3,0.1283421516418457,0.36652669310569763,0.26662883162498474,0.12416679412126541,0.4068376123905182,0.2607609033584595
R01,2026-09-06T01:07:23.313Z,eb3182889c7d,sequential,P05,3,True,3,3,0.24122847616672516,0.24444396793842316,0.5315648317337036,0.22841043770313263,0.24880069494247437,0.6137474775314331
R01,2026-09-06T01:07:23.313Z,f8b314c1a1ac,end_regeneration,P05-end-only,1,False,1,1,0.15727263689041138,0.5925163626670837,0.23568332195281982,0.2006443738937378,0.3427695333957672,0.5772225260734558
R01,2026-09-06T01:07:23.313Z,12558593c454,end_regeneration,P02-end-only,1,False,1,1,0.07742524147033691,0.7169287800788879,0.11530911177396774,0.08077709376811981,0.6549031138420105,0.11723203212022781
R01,2026-09-06T01:07:23.313Z,47a88bcfbc20,trigger_once,P06-once-triggered,3,True,3,3,0.1730796843767166,0.3262294828891754,0.39165157079696655,0.17273461818695068,0.3245706856250763,0.38957276940345764
R01,2026-09-06T01:07:23.313Z,c517bc371306,end_regeneration,P01-end-only,0,False,1,0,0.16480223834514618,0.42618611454963684,0.2761557698249817,0.1246144026517868,0.6528502106666565,0.17019937932491302
R01,2026-09-06T01:07:23.313Z,79c56808971b,sequential,P04,3,True,3,3,0.2195051908493042,0.24451230466365814,0.45022645592689514,0.17004646360874176,0.44831743836402893,0.3121553361415863
