branch,stage,sha256,scope,region,mode,dx,dy,ncc,mae,ssim,lpips,highpass_mae
P01,1,3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,face,whole_roi,fixed,0,0,,0.01682279445230961,0.9092685580253601,0.029075920581817627,
P01,1,3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,face,whole_roi,1,0,0,0.9954674243927002,0.01682279445230961,0.9092685580253601,0.029075920581817627,
P01,1,3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,face,whole_roi,3,0,0,0.9980839490890503,0.01682279445230961,0.9092685580253601,0.029075920581817627,
P01,1,3283b698d37221ba9bb1e6190ab288a591d65dca1b2990d21299993b8bd54043,face,whole_roi,6,0,0,0.9989946484565735,0.01682279445230961,0.9092685580253601,0.029075920581817627,
P01,2,5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,face,whole_roi,fixed,0,0,,0.025318698957562447,0.8610936999320984,0.045663982629776,
P01,2,5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,face,whole_roi,1,0,-1,0.9928050637245178,0.023979511111974716,0.86857670545578,0.04554736241698265,
P01,2,5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,face,whole_roi,3,0,-1,0.9963827133178711,0.023979511111974716,0.86857670545578,0.04554736241698265,
P01,2,5edf621a615953f5454253bd0ea31f3c9b0a40ff0e037d0a27286c04e4a44a8e,face,whole_roi,6,0,-1,0.9977179765701294,0.023979511111974716,0.86857670545578,0.04554736241698265,
P01,3,f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,face,whole_roi,fixed,0,0,,0.03235635906457901,0.8246541023254395,0.06535055488348007,
P01,3,f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,face,whole_roi,1,0,-1,0.9899494647979736,0.029664114117622375,0.847237765789032,0.061555471271276474,
P01,3,f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,face,whole_roi,3,0,-1,0.9944089651107788,0.029664114117622375,0.847237765789032,0.061555471271276474,
P01,3,f58ce0880a9001f1a2369d497c4e04bf5e9ed5dcb04bf1f91b79f92fd6d81429,face,whole_roi,6,0,-1,0.9961461424827576,0.029664114117622375,0.847237765789032,0.061555471271276474,
P01,4,93069e877fb11f264f2f8af78ab9c008158be25cdafee7422470c38d49eec4a6,face,whole_roi,fixed,0,0,,0.04575975611805916,0.7748034000396729,0.09369942545890808,
P01,4,93069e877fb11f264f2f8af78ab9c008158be25cdafee7422470c38d49eec4a6,face,whole_roi,1,0,-2,0.9798243045806885,0.04218009114265442,0.8089295029640198,0.08704492449760437,
P01,4,93069e877fb11f264f2f8af78ab9c008158be25cdafee7422470c38d49eec4a6,face,whole_roi,3,0,-2,0.9869225025177002,0.04218009114265442,0.8089295029640198,0.08704492449760437,
P01,4,93069e877fb11f264f2f8af78ab9c008158be25cdafee7422470c38d49eec4a6,face,whole_roi,6,0,-2,0.9901689291000366,0.04218009114265442,0.8089295029640198,0.08704492449760437,
P01,5,920021a6c61ee4781e4b3eea0c42cee999eaf258855b6ebe212f6f44d0b2f91e,face,whole_roi,fixed,0,0,,0.05325869098305702,0.7275538444519043,0.1472696214914322,
P01,5,920021a6c61ee4781e4b3eea0c42cee999eaf258855b6ebe212f6f44d0b2f91e,face,whole_roi,1,-1,-2,0.9562463164329529,0.04936990141868591,0.7596468925476074,0.1388384848833084,
P01,5,920021a6c61ee4781e4b3eea0c42cee999eaf258855b6ebe212f6f44d0b2f91e,face,whole_roi,3,-1,-2,0.9641510844230652,0.04936990141868591,0.7596468925476074,0.1388384848833084,
